Обозначение;Заглавие на русском языке;Статус;Код ОКС
ГОСТ Р 8.997-2021;Государственная система обеспечения единства измерений. Алгоритмы оценки метрологических характеристик при аттестации методик измерений в области использования атомной энергии;Действует;17.020
ГОСТ Р 8.998-2021;Государственная система обеспечения единства измерений. Стандартные справочные данные. Толуол жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная и изобарная теплоемкости и скорость звука при температурах от 180 K до 700 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.999-2021;Государственная система обеспечения единства измерений. Стандартные справочные данные. Моноксид углерода жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная и изобарная теплоемкости при температурах от 70 K до 500 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.1000-2021;Государственная система обеспечения единства измерений. Стандартные справочные данные. Ксенон жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная, изобарная теплоемкости и скорость звука при температурах от 162 K до 750 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.1001-2021;Государственная система обеспечения единства измерений. Стандартные справочные данные. Ортоводород жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная, изобарная теплоемкости и скорость звука при температурах от 15 K до 1000 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.1002-2021;Государственная система обеспечения единства измерений. Стандартные справочные данные. Параводород жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная, изобарная теплоемкости и скорость звука при температурах от 14 K до 1000 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.1003-2021;Государственная система обеспечения единства измерений. Аттестованные объекты в области использования атомной энергии. Порядок разработки и аттестации;Действует;17.020
ГОСТ Р 8.1004-2021;Государственная система обеспечения единства измерений. Системы измерений количества и параметров нефти и нефтегазоводяной смеси и измерительные установки. Метрологические и технические требования;Действует;17.020
ГОСТ Р 8.1005-2022;Государственная система обеспечения единства измерений. Масса нефти в составе нефтегазоводяной смеси. Методика измерений косвенным методом динамических измерений и косвенным методом, основанным на гидростатическом принципе, с применением сепарационных измерительных установок;Действует;17.060
ГОСТ Р 8.1006-2022;Государственная система обеспечения единства измерений. Масса нефти в составе нефтегазоводяной смеси. Методика измерений прямым методом динамических измерений с применением сепарационных измерительных установок;Действует;17.060
ГОСТ Р 8.1007-2022;Государственная система обеспечения единства измерений. Объемная и массовая доля воды в нефтегазоводяной смеси. Комбинированный метод измерений;Действует;75.040
ГОСТ Р 8.1008-2022;Государственная система обеспечения единства измерений. Плотность нефти и нефтепродуктов. Метод расчета. Порядок и таблицы приведения;Действует;"17.020;75.080"
ГОСТ Р 8.1009-2022;Государственная система обеспечения единства измерений. Служба стандартных справочных данных в области использования атомной энергии. Классификаторы справочных данных о свойствах веществ и материалов в области использования атомной энергии. Основные положения;Действует;17.020
ГОСТ Р 8.1010-2022;Государственная система обеспечения единства измерений. Массовая доля воды в нефтегазоводяной смеси. Требования к методикам (методам) измерений;Действует;75.040
ГОСТ Р 8.1011-2022;Государственная система обеспечения единства измерений. Системы измерений количества и показателей качества нефти и нефтепродуктов. Ввод в эксплуатацию, эксплуатация, вывод из эксплуатации;Действует;17.020
ГОСТ Р 8.1012-2022;Государственная система обеспечения единства измерений. Счетчики воды. Методика поверки;Действует;17.040.30
ГОСТ Р 8.1013-2022;Государственная система обеспечения единства измерений. Стандартные справочные данные. Теплопроводность твердых растворов La2Te3 – La3Te4 в диапазоне температур от 80 К до 400 К;Действует;17.020
ГОСТ Р 8.1014-2022;Государственная система обеспечения единства измерений. Стандартные справочные данные. Хлор жидкий и газообразный. Плотность при температурах от 172,17 К до 440 К и давлениях до 20 МПа;Действует;17.060
ГОСТ Р 8.1015-2022;Государственная система обеспечения единства измерений. Метрологическая экспертиза нормативной и технической документации в области использования атомной энергии. Организация и основные требования к содержанию;Действует;17.020
ГОСТ Р 8.1016-2022;Государственная система обеспечения единства измерений. Измерения количества добываемых из недр нефти и попутного нефтяного газа. Общие метрологические и технические требования;Действует;17.020
ГОСТ Р 8.1017-2023;Государственная система обеспечения единства измерений. Счетчики газа. Методика поверки;Действует;17.020
ГОСТ Р 8.1018-2023;Государственная система обеспечения единства измерений. Водород нормальный. Теплофизические свойства при температурах до 1000 К и давлениях до 100 МПа;Действует;17.060
ГОСТ Р 8.1019-2023;Государственная система обеспечения единства измерений. Влажный метан. Термодинамические свойства в диапазоне температур от 200 К до 400 К, давлений от 0,1 до 10 МПа и относительной влажности от 0,2 до 1,0;Действует;17.060
ГОСТ Р 8.1020-2023;Государственная система обеспечения единства измерений. Метан жидкий и газообразный. Термодинамические свойства, коэффициенты динамической вязкости и теплопроводности в диапазоне температур от 91 до 700 К и давлениях до 100 МПа;Действует;07.030
ГОСТ Р 8.1021-2023;Государственная система обеспечения единства измерений. Влажный водород. Термодинамические свойства в диапазоне температур от 200 до 400 К, давлений от 0,1 до 10 МПа и относительной влажности от 0,2 до 1,0;Действует;17.060
ГОСТ Р 8.1022-2023;Государственная система обеспечения единства измерений. Водород и его изотопы. Поверхностное натяжение;Действует;07.030
ГОСТ Р 8.1023-2023;Государственная система обеспечения единства измерений. Эксперт-метролог по метрологической экспертизе технической документации. Общие требования;Действует;17.020
ГОСТ Р 8.1024-2023;Государственная система обеспечения единства измерений. Метрологическая экспертиза технической документации. Основные положения;Действует;17.020
ГОСТ Р 8.1025-2023;Государственная система обеспечения единства измерений. Расходомеры массовые кориолисовые, расходомеры-счетчики массовые кориолисовые, преобразователи расхода массовые кориолисовые. Методика поверки;Действует;17.020
ГОСТ Р 8.1026-2023;Государственная система обеспечения единства измерений. Преобразователи расхода турбинные, расходомеры турбинные, счетчики жидкости турбинные. Методика поверки;Действует;17.020
ГОСТ Р 8.1027-2023;Государственная система обеспечения единства измерений. Установки трубопоршневые. Методика поверки;Действует;17.060
ГОСТ Р 8.1028-2023;Государственная система обеспечения единства измерений. Объемный расход и объем природного газа. Методика (метод) измерений с применением микротермальных счетчиков газа;Действует;17.020
ГОСТ Р 8.1029-2024;Государственная система обеспечения единства измерений. Металлы и сплавы. Измерение твердости и других характеристик материалов при инструментальном индентировании. Часть 3. Технические требования и калибровка эталонных мер твердости;Действует;17.020
ГОСТ Р 8.1030-2024;Государственная система обеспечения единства измерений. Классификация средств измерений;Принят;17.020
ГОСТ Р 8.1031-2024;Государственная система обеспечения единства измерений. Библиотеки масс-спектров психоактивных соединений и их метаболитов. Общие требования (требования к достоверности данных, полноте информации, актуализации и содержанию);Принят;17.020
ГОСТ Р 8.1032-2024;Ацетон жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная и изобарная теплоемкости при температурах от 180 К до 550 К и давлениях до 100 МПа;Принят;17.060
ГОСТ Р 8.1033-2024;Гелий-4 жидкий и газообразный. Плотность, энтальпия, энтропия, изохорная и изобарная теплоемкости при температурах от 2,5 К до 500 К и давлениях до 100 МПа;Принят;17.060
ГОСТ Р 8.1034-2024;Бериллий. Температурный коэффициент линейного расширения и удельная теплоемкость в диапазоне температур от 260 К до 870 К;Принят;17.020
ГОСТ Р 8.1035-2024;Источники радионуклидные альфа-, бета- и фотонного излучений. Технические требования к эталонам для калибровки, поверки приборов контроля радиоактивного загрязнения поверхности (мониторов);Действует;17.240
ГОСТ Р 8.1036-2024;Государственная система обеспечения единства измерений. Стандарты частоты и (или) времени. Методы оценки основных метрологических характеристик с использованием сигналов, передаваемых глобальными навигационными спутниковыми системами;Принят;17.020
ГОСТ Р 8.1037-2024;Государственная система обеспечения единства измерений. Стандартные образцы состава газовых смесей. Методы планирования измерений и обработки результатов измерений при сличениях;Принят;17.020
ГОСТ Р 8.1038-2024;Государственная система обеспечения единства измерений. Металлы и сплавы. Измерения твердости по шкалам Бринелля. Часть 1. Метод измерений;Принят;"77.040.10;17.020"
ГОСТ Р 8.1039-2024;Государственная система обеспечения единства измерений. Методы измерений свойств организмов, созданных с применением генной инженерии. Общие требования;Действует;17.020
ГОСТ Р 8.1558-93;Государственная система обеспечения единства измерений. Государственная поверочная схема для средств измерений энергетической освещенности в диапазоне от 1 до 1·10 в ст. минус 3 Вт/м кв. в диапазоне длин волн от 1 до 50 мкм;Действует;17.180
ГОСТ Р 9.316-2006;Единая система защиты от коррозии и старения. Покрытия термодиффузионные цинковые. Общие требования и методы контроля;Действует;"25.220.40;77.060"
ГОСТ Р 9.317-2010;Единая система защиты от коррозии и старения. Покрытия металлические. Методы измерения пластичности;Действует;"25.220.40;77.060"
ГОСТ Р 9.318-2013;Единая система защиты от коррозии и старения. Покрытия нанокристаллические неметаллические неорганические, полученные методом микродугового оксидирования на алюминии и его сплавах. Общие требования и методы контроля;Действует;77.060
ГОСТ Р 9.319-2024;Единая система защиты от коррозии и старения. Покрытия защитные неорганические протекторные на цинк-силикатной основе. Общие технические условия;Принят;"25.220.40;77.060"
ГОСТ Р 9.404-2022;Единая система защиты от коррозии и старения. Покрытия защитные органические. Системы покрытий на основе композиций порошокового полиэтилена. Общие технические условия;Действует;87.040
ГОСТ Р 9.411-2021;Единая система защиты от коррозии и старения. Покрытия защитные органические. Классификация;Действует;25.220.60
ГОСТ Р 9.413-2007;Единая система защиты от коррозии и старения. Покрытия лакокрасочные. Определение проникающей способности водоразбавляемых лакокрасочных материалов при электроосаждении;Действует;"25.220.60;87.040"
ГОСТ Р 9.517-2003;Единая система защиты от коррозии и старения. Временная противокоррозионная защита изделий. Методы испытаний;Действует;"19.020;77.060"
ГОСТ Р 9.518-2006;Единая система защиты от коррозии и старения. Межоперационная противокоррозионная защита. Общие требования;Действует;25.220
ГОСТ Р 9.603-2021;Единая система защиты от коррозии и старения. Электрохимическая защита. Вставки (муфты) электроизолирующие. Общие технические условия;Действует;"75.200;77.060"
ГОСТ Р 9.604-2021;Единая система защиты от коррозии и старения. Электрохимическая защита. Устройства защиты подземных сооружений от коррозии индуцированным переменным током. Общие технические условия;Действует;"75.200;77.060"
ГОСТ Р 9.605-2021;Единая система защиты от коррозии и старения. Электрохимическая защита. Электроды сравнения. Общие технические условия;Действует;29.130.20
ГОСТ Р 9.606-2021;Единая система защиты от коррозии и старения. Электрохимическая защита. Пункты контрольно-измерительные. Общие технические условия;Действует;29.130.20
ГОСТ Р 9.607-2022;Единая система защиты от коррозии и старения. Электрохимическая защита. Аноды установок электрохимической защиты от коррозии подземных металлических сооружений. Общие технические условия;Действует;29.130.20
ГОСТ Р 9.804-2006;Единая система защиты от коррозии и старения. Изделия и материалы. Методы лабораторных испытаний на стойкость к повреждению грызунами;Действует;25.220
ГОСТ Р 9.901.3-2007;Единая система защиты от коррозии и старения. Металлы и сплавы. Общие требования к применению U-образных образцов для испытаний на коррозионное растрескивание;Действует;"25.220.40;77.060"
ГОСТ Р 9.905-2007;Единая система защиты от коррозии и старения. Методы коррозионных испытаний. Общие требования;Действует;"25.220.40;77.060"
ГОСТ Р 9.907-2007;Единая система защиты от коррозии и старения. Металлы, сплавы, покрытия металлические. Методы удаления продуктов коррозии после коррозионных испытаний;Действует;"25.220.40;77.060"
ГОСТ Р 9.915-2010;Единая система защиты от коррозии и старения. Металлы, сплавы, покрытия, изделия. Методы испытаний на водородное охрупчивание;Действует;"25.220;77.060"
ГОСТ Р 10.00.00.00-2023;Единая система информационного моделирования. Основные положения;Действует;"01.040.01;01.120;35.240.01;35.240.67;91.010.01;91.020;91.040.01;91.200"
ГОСТ Р 10.0.02-2019;Система стандартов информационного моделирования зданий и сооружений. Отраслевые базовые классы (IFC) для обмена и управления данными об объектах строительства. Часть 1. Схема данных;Действует;"91.010.01;35.240.67;35.240.01"
ГОСТ Р 10.0.03-2019;Система стандартов информационного моделирования зданий и сооружений. Информационное моделирование в строительстве. Справочник по обмену информацией. Часть 1. Методология и формат;Действует;"91.010.01;35.240.67;35.240.01"
ГОСТ Р 10.0.04-2019;Система стандартов информационного моделирования зданий и сооружений. Информационное моделирование в строительстве. Справочник по обмену информацией. Часть 2. Структура взаимодействия;Действует;"91.010.01;35.240.67;35.240.01"
ГОСТ Р 10.0.05-2019;Система стандартов информационного моделирования зданий и сооружений. Строительство зданий. Структура информации об объектах строительства. Часть 2. Основные принципы классификации;Действует;"91.010.01;35.240.67;35.240.01"
ГОСТ Р 10.0.06-2019;Система стандартов информационного моделирования зданий и сооружений. Строительство зданий. Структура информации об объектах строительства. Часть 3. Основы обмена объектно-ориентированной информацией;Действует;"91.010.01;35.240.67;35.240.01"
ГОСТ Р 12.0.001-2013;Система стандартов безопасности труда. Основные положения;Действует;13.100
ГОСТ Р 12.0.007-2009;Система стандартов безопасности труда. Система управления охраной труда в организации. Общие требования по разработке, применению, оценке и совершенствованию;Действует;13.100
ГОСТ Р 12.0.008-2009;Система стандартов безопасности труда. Система управления охраной труда в организациях. Проверка (аудит);Действует;13.100
ГОСТ Р 12.0.009-2009;Система стандартов безопасности труда. Система управления охраной труда на малых предприятиях. Требования и рекомендации по применению;Действует;13.100
ГОСТ Р 12.0.010-2009;Система стандартов безопасности труда. Системы управления охраной труда. Определение опасностей и оценка рисков;Действует;13.100
ГОСТ Р 12.0.011-2017;Система стандартов безопасности труда. Методы оценки и расчета профессиональных рисков работников железнодорожного транспорта;Действует;45.020
ГОСТ Р 12.1.031-2010;Система стандартов безопасности труда. Лазеры. Методы дозиметрического контроля лазерного излучения;Действует;31.260
ГОСТ Р 12.1.038-2024;Система стандартов безопасности труда. Электробезопасность. Предельно допустимые значения напряжений прикосновения и токов;Действует;"13.200;29.020"
ГОСТ Р 12.2.133-97;Система стандартов безопасности труда. Оборудование полиграфическое. Требования безопасности и методы испытаний;Действует;"13.100;37.100.10"
ГОСТ Р 12.3.047-2012;Система стандартов безопасности труда. Пожарная безопасность технологических процессов. Общие требования. Методы контроля;Действует;13.220
ГОСТ Р 12.3.048-2002;Система стандартов безопасности труда. Строительство. Производство земляных работ способом гидромеханизации. Требования безопасности;Действует;"13.100;93.020"
ГОСТ Р 12.3.049-2017;Система стандартов безопасности труда. Строительство. Работы на высоте. Термины и определения;Действует;13.340.60
ГОСТ Р 12.3.050-2017;Система стандартов безопасности труда. Строительство. Работы на высоте. Правила безопасности;Действует;13.340.60
ГОСТ Р 12.3.051-2017;Система стандартов безопасности труда. Строительство. Конструкции защитно-улавливающих сеток. Технические условия;Действует;13.340.60
ГОСТ Р 12.3.052-2020;Система стандартов безопасности труда. Строительство. Работы антикоррозионные. Требования безопасности;Действует;"13.100;13.140;13.160;13.220;13.230;13.260"
ГОСТ Р 12.3.053-2020;Система стандартов безопасности труда. Строительство. Ограждения предохранительные временные. Общие технические условия;Действует;91.220
ГОСТ Р 12.4.185-99;Система стандартов безопасности труда. Средства индивидуальной защиты от пониженных температур. Методы определения теплоизоляции комплекта;Действует;13.340.10
ГОСТ Р 12.4.187-97;Система стандартов безопасности труда. Обувь специальная кожаная для защиты от общих производственных загрязнений. Общие технические условия;Действует;13.340.50
ГОСТ Р 12.4.188-2000;Система стандартов безопасности труда. Очки защитные фильтрующие от воздействия парогазовой фазы токсичных веществ. Технические требования и методы испытаний;Действует;13.340.20
ГОСТ Р 12.4.199-99;Система стандартов безопасности труда. Материалы для средств индивидуальной защиты с резиновым или пластмассовым покрытием. Методы определения сопротивления на изгиб;Действует;59.080.40
ГОСТ Р 12.4.200-99;Система стандартов безопасности труда. Одежда специальная для защиты от тепла и огня. Метод испытаний при ограниченном распространении пламени;Действует;13.340.10
ГОСТ Р 12.4.206-99;Система стандартов безопасности труда. Средства индивидуальной защиты от падения с высоты. Методы испытаний;Действует;13.340.99
ГОСТ Р 12.4.214-99;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Резьба для лицевых частей. Стандартное резьбовое соединение;Действует;13.340.30
ГОСТ Р 12.4.215-99;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Резьба для лицевых частей. Центральное резьбовое соединение;Действует;13.340.30
ГОСТ Р 12.4.216-99;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Резьба для лицевых частей. Резьбовое соединение М45х3;Действует;13.340.30
ГОСТ Р 12.4.217-2000;Система стандартов безопасности труда. Обувь специальная кожаная. Метод определения проницаемости органических растворителей;Действует;61.060
ГОСТ Р 12.4.233-2023;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Термины, определения, обозначения;Действует;13.340.30
ГОСТ Р 12.4.234-2012;Система стандартов безопасности труда. Одежда специальная для защиты от термических рисков электрической дуги. Общие технические требования и методы испытаний;Действует;13.340.10
ГОСТ Р 12.4.253-2011;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Автономные изолирующие дыхательные аппараты со сжатым и с химически связанным кислородом для горноспасателей. Общие технические условия;Действует;13.340.30
ГОСТ Р 12.4.260-2011;Система стандартов безопасности труда. Одежда специальная для защиты от механических воздействий. Метод определения сопротивления проколу;Действует;13.340.10
ГОСТ Р 12.4.270-2012;Система стандартов безопасности труда. Костюмы изолирующие. Метод пневмометрического определения герметичности в динамических условиях;Действует;13.340.10
ГОСТ Р 12.4.271-2012;Система стандартов безопасности труда. Костюмы изолирующие. Метод определения коэффициента защиты по газообразным веществам;Действует;13.340.10
ГОСТ Р 12.4.273-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Аппараты с открытым контуром и подачей сжатого воздуха, с маской или загубником в сборе (самоспасатели). Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.274-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Аппараты изолирующие со сжатым воздухом, открытым контуром, капюшоном (самоспасатели). Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.275-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Аппараты шланговые с принудительной подачей чистого воздуха, с капюшоном. Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.276-1-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Дыхательный аппарат с линией подачи сжатого воздуха. Часть 1. Аппараты с полной маской. Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.276-2-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Дыхательный аппарат с линией подачи сжатого воздуха. Часть 2. Аппараты с полумаской и избыточным давлением. Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.277-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Самоспасатели со сжатым воздухом с полумаской и легочно-силовым автоматом с избыточным давлением. Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.278-2012;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Аппараты с жатым воздухом и открытым контуром, с полумаской, используемой только для избыточного давления. Технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.284-2013;Система стандартов безопасности труда. Костюмы изолирующие. Метод определения стойкости материалов к истиранию;Действует;59.140
ГОСТ Р 12.4.285-2017;Система стандартов безопасности труда. Одежда специальная защитная из изолирующих материалов с принудительной подачей очищенного воздуха в подкостюмное пространство. Общие технические требования;Действует;13.340.10
ГОСТ Р 12.4.286-2017;Система стандартов безопасности труда. Одежда специальная для защиты от газообразных и жидких химических веществ. Метод определения защитных свойств материалов при воздействии хлора и аммиака;Действует;13.340.10
ГОСТ Р 12.4.287-2013;Система стандартов безопасности труда. Одежда специальная для защиты от химических веществ. Метод определения паропроницаемости мембранных материалов и швов;Действует;"13.340.10;19.020"
ГОСТ Р 12.4.288-2013;Система стандартов безопасности труда. Одежда специальная для защиты от воды. Технические требования;Действует;13.340.10
ГОСТ Р 12.4.289-2013;Система стандартов безопасности труда. Одежда специальная для защиты от нетоксичной пыли. Технические требования;Действует;13.340.10
ГОСТ Р 12.4.291-2013;Система стандартов безопасности труда. Обувь специальная, устойчивая к разрезанию ручной цепной пилой. Технические требования;Действует;13.340.50
ГОСТ Р 12.4.293-2013;Система стандартов безопасности труда. Одежда специальная защитная. Словарь;Действует;"13.340.10;01.040.13"
ГОСТ Р 12.4.294-2013;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Самоспасатель фильтрующий c капюшоном для защиты персонала опасных производственных объектов от химически опасных веществ и продуктов горения. Общие технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.295-2017;Система стандартов безопасности труда. Средства индивидуальной защиты ног. Методы испытаний;Действует;13.340.50
ГОСТ Р 12.4.296-2013;Система стандартов безопасности труда. Одежда специальная для защиты от вредных биологических факторов (насекомых и паукообразных). Общие технические требования. Методы испытаний;Действует;13.340.10
ГОСТ Р 12.4.297-2013;Система стандартов безопасности труда. Одежда специальная для защиты от повышенных температур теплового излучения, конвективной теплоты, выплесков расплавленного металла, контакта с нагретыми поверхностями, кратковременного воздействия пламени. Технические требования и методы испытаний;Действует;13.340.10
ГОСТ Р 12.4.299-2017;Система стандартов безопасности труда. Костюмы шахтерские для защиты от механических воздействий и общих производственных загрязнений. Общие технические требования;Действует;13.340.10
ГОСТ Р 12.4.300-2017;Система стандартов безопасности труда. Средства индивидуальной защиты органов дыхания. Загубники. Общие технические требования. Методы испытаний. Маркировка;Действует;13.340.30
ГОСТ Р 12.4.301-2018;Система стандартов безопасности труда. Средства индивидуальной защиты дерматологические. Общие технические условия;Действует;13.340.99
ГОСТ Р 12.4.302-2018;Система стандартов безопасности труда. Средства индивидуальной защиты дерматологические. Методы определения и оценки направленной эффективности дерматологических средств индивидуальной защиты защитного типа. Часть 1. Средства гидрофильного и гидрофобного действия;Действует;13.340.99
ГОСТ Р 12.4.303-2018;Система стандартов безопасности труда. Средства индивидуальной защиты дерматологические. Методы определения и оценки направленной эффективности дерматологических средств индивидуальной защиты очищающего типа;Действует;13.340.99
ГОСТ Р 12.4.304-2019;Система стандартов безопасности труда. Средства индивидуальной защиты дерматологические. Информация для потребителя. Общие требования;Действует;13.340.99
ГОСТ Р 12.4.305-2021;Система стандартов безопасности труда. Средства индивидуальной защиты дерматологические. Методы определения и оценки направленной эффективности дерматологических средств индивидуальной защиты защитного типа. Часть 2. Средства комбинированного (универсального) действия;Действует;13.340.99
