name,full_name,unit,kind,label,type_hint,okved_code,hs_code
Кроссовки Bosch 1514,"Кроссовки Bosch 1514, реальный товар",шт,Обувь,Товар,Товар,10.51,8455.22.100
Молоко Nike 1624,"Молоко Nike 1624, реальный товар",м,Продукты,Товар,Товар,27.51,8459.58.100
Разработка веб-сайта Центр,"Разработка веб-сайта, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,96.04,
Хлеб Adidas 9653,"Хлеб Adidas 9653, реальный товар",л,Продукты,Товар,Товар,10.51,8456.88.100
Ремонт техники ПРО,"Ремонт техники, предоставляется компанией ПРО",услуга,Логистика,Услуга,Услуга,49.41,
Разработка веб-сайта Студия,"Разработка веб-сайта, предоставляется компанией Студия",курс,Красота,Услуга,Услуга,74.10,
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",услуга,ИТ услуги,Услуга,Услуга,85.41,
Смартфон Bosch 9141,"Смартфон Bosch 9141, реальный товар",кг,Электроника,Товар,Товар,26.30,8472.67.100
Колбаса Bosch 3280,"Колбаса Bosch 3280, реальный товар",л,Продукты,Товар,Товар,27.51,8476.50.100
Смартфон LG 7827,"Смартфон LG 7827, реальный товар",кг,Электроника,Товар,Товар,15.29,8477.19.100
Куртка Adidas 1497,"Куртка Adidas 1497, реальный товар",кг,Одежда,Товар,Товар,14.12,8432.93.100
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",месяц,Образование,Услуга,Услуга,62.01,
Колбаса Samsung 2661,"Колбаса Samsung 2661, реальный товар",шт,Продукты,Товар,Товар,10.51,8477.87.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",курс,ИТ услуги,Услуга,Услуга,96.04,
Косметический уход Центр,"Косметический уход, предоставляется компанией Центр",час,Красота,Услуга,Услуга,74.10,
Консультация адвоката Центр,"Консультация адвоката, предоставляется компанией Центр",час,Образование,Услуга,Услуга,62.01,
Ноутбук Adidas 9307,"Ноутбук Adidas 9307, реальный товар",шт,Электроника,Товар,Товар,26.30,8428.50.100
Доставка товаров Центр,"Доставка товаров, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,85.41,
Хлеб Adidas 8218,"Хлеб Adidas 8218, реальный товар",кг,Продукты,Товар,Товар,14.12,8472.46.100
Смартфон Danone 1265,"Смартфон Danone 1265, реальный товар",кг,Электроника,Товар,Товар,26.30,8469.11.100
Уборка помещения Центр,"Уборка помещения, предоставляется компанией Центр",месяц,Красота,Услуга,Услуга,62.01,
Косметический уход Сервис,"Косметический уход, предоставляется компанией Сервис",услуга,Красота,Услуга,Услуга,62.01,
Рубашка Nike 4764,"Рубашка Nike 4764, реальный товар",шт,Одежда,Товар,Товар,26.30,8464.47.100
Косметический уход ПРО,"Косметический уход, предоставляется компанией ПРО",месяц,Красота,Услуга,Услуга,96.04,
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",курс,Логистика,Услуга,Услуга,85.41,
Консультация адвоката Студия,"Консультация адвоката, предоставляется компанией Студия",час,Логистика,Услуга,Услуга,96.04,
Молоко LG 7695,"Молоко LG 7695, реальный товар",кг,Продукты,Товар,Товар,14.12,8412.13.100
Ноутбук Danone 2804,"Ноутбук Danone 2804, реальный товар",м,Электроника,Товар,Товар,27.51,8469.89.100
Холодильник Samsung 2973,"Холодильник Samsung 2973, реальный товар",шт,Бытовая техника,Товар,Товар,26.30,8449.36.100
Доставка товаров Центр,"Доставка товаров, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,85.41,
Планшет LG 9040,"Планшет LG 9040, реальный товар",кг,Электроника,Товар,Товар,15.29,8457.96.100
Цемент Bosch 7562,"Цемент Bosch 7562, реальный товар",шт,Материалы,Товар,Товар,14.12,8438.19.100
Доставка товаров Сервис,"Доставка товаров, предоставляется компанией Сервис",услуга,Логистика,Услуга,Услуга,49.41,
Тренировка в фитнесе Студия,"Тренировка в фитнесе, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,96.04,
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,62.01,
Саморезы Adidas 5441,"Саморезы Adidas 5441, реальный товар",л,Материалы,Товар,Товар,26.30,8437.22.100
Хлеб LG 1726,"Хлеб LG 1726, реальный товар",шт,Продукты,Товар,Товар,10.51,8454.68.100
Смартфон Samsung 3831,"Смартфон Samsung 3831, реальный товар",кг,Электроника,Товар,Товар,15.29,8486.51.100
Ремонт техники ПРО,"Ремонт техники, предоставляется компанией ПРО",месяц,ИТ услуги,Услуга,Услуга,49.41,
Ботинки Samsung 7448,"Ботинки Samsung 7448, реальный товар",кг,Обувь,Товар,Товар,10.51,8443.81.100
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",месяц,Красота,Услуга,Услуга,62.01,
Рубашка Nike 7545,"Рубашка Nike 7545, реальный товар",кг,Одежда,Товар,Товар,26.30,8449.65.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",месяц,Красота,Услуга,Услуга,62.01,
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,96.04,
Доставка товаров ПРО,"Доставка товаров, предоставляется компанией ПРО",курс,Логистика,Услуга,Услуга,96.04,
Холодильник Samsung 4089,"Холодильник Samsung 4089, реальный товар",м,Бытовая техника,Товар,Товар,26.30,8491.80.100
Разработка веб-сайта Студия,"Разработка веб-сайта, предоставляется компанией Студия",час,Логистика,Услуга,Услуга,49.41,
Холодильник Danone 7062,"Холодильник Danone 7062, реальный товар",л,Бытовая техника,Товар,Товар,14.12,8436.38.100
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",курс,Логистика,Услуга,Услуга,74.10,
Краска Nike 7146,"Краска Nike 7146, реальный товар",шт,Материалы,Товар,Товар,15.29,8473.84.100
Монитор LG 8570,"Монитор LG 8570, реальный товар",шт,Электроника,Товар,Товар,15.29,8427.74.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",час,Красота,Услуга,Услуга,96.04,
Планшет Bosch 3129,"Планшет Bosch 3129, реальный товар",шт,Электроника,Товар,Товар,10.51,8437.24.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,49.41,
Смартфон Adidas 4557,"Смартфон Adidas 4557, реальный товар",м,Электроника,Товар,Товар,15.29,8441.78.100
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",месяц,ИТ услуги,Услуга,Услуга,74.10,
Колбаса Samsung 6335,"Колбаса Samsung 6335, реальный товар",шт,Продукты,Товар,Товар,26.30,8419.56.100
Установка окна ПРО,"Установка окна, предоставляется компанией ПРО",месяц,Образование,Услуга,Услуга,96.04,
Стиральная машина Bosch 6844,"Стиральная машина Bosch 6844, реальный товар",кг,Бытовая техника,Товар,Товар,27.51,8445.50.100
Холодильник Bosch 1039,"Холодильник Bosch 1039, реальный товар",кг,Бытовая техника,Товар,Товар,14.12,8440.87.100
Джинсы Samsung 8287,"Джинсы Samsung 8287, реальный товар",кг,Одежда,Товар,Товар,27.51,8450.23.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",услуга,ИТ услуги,Услуга,Услуга,85.41,
Хлеб Bosch 8323,"Хлеб Bosch 8323, реальный товар",шт,Продукты,Товар,Товар,26.30,8445.19.100
Джинсы Danone 4282,"Джинсы Danone 4282, реальный товар",л,Одежда,Товар,Товар,27.51,8416.25.100
Окраска объект 51,Окраска стен и потолков объект 51,м²,Отделочные работы,Работа,Работа,43.34,
Ноутбук Nike 9447,"Ноутбук Nike 9447, реальный товар",шт,Электроника,Товар,Товар,27.51,8435.51.100
Ботинки Danone 3849,"Ботинки Danone 3849, реальный товар",кг,Обувь,Товар,Товар,27.51,8469.59.100
Колбаса LG 6291,"Колбаса LG 6291, реальный товар",л,Продукты,Товар,Товар,14.12,8481.27.100
Краска Bosch 7995,"Краска Bosch 7995, реальный товар",м,Материалы,Товар,Товар,26.30,8423.38.100
Кроссовки Danone 6198,"Кроссовки Danone 6198, реальный товар",кг,Обувь,Товар,Товар,27.51,8482.73.100
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",услуга,Логистика,Услуга,Услуга,49.41,
Джинсы Adidas 6640,"Джинсы Adidas 6640, реальный товар",л,Одежда,Товар,Товар,26.30,8473.54.100
Уборка помещения Центр,"Уборка помещения, предоставляется компанией Центр",месяц,Красота,Услуга,Услуга,62.01,
Молоко Adidas 3101,"Молоко Adidas 3101, реальный товар",м,Продукты,Товар,Товар,10.51,8450.14.100
Монитор Bosch 6027,"Монитор Bosch 6027, реальный товар",шт,Электроника,Товар,Товар,14.12,8463.57.100
Уборка помещения Центр,"Уборка помещения, предоставляется компанией Центр",услуга,Логистика,Услуга,Услуга,85.41,
Окраска объект 34,Окраска стен и потолков объект 34,м²,Отделочные работы,Работа,Работа,43.34,
Рубашка Adidas 9958,"Рубашка Adidas 9958, реальный товар",м,Одежда,Товар,Товар,14.12,8452.72.100
Стиральная машина Danone 5228,"Стиральная машина Danone 5228, реальный товар",м,Бытовая техника,Товар,Товар,26.30,8413.44.100
Молоко Bosch 4187,"Молоко Bosch 4187, реальный товар",л,Продукты,Товар,Товар,15.29,8487.19.100
Саморезы Bosch 6029,"Саморезы Bosch 6029, реальный товар",шт,Материалы,Товар,Товар,10.51,8440.12.100
Рубашка Adidas 7076,"Рубашка Adidas 7076, реальный товар",кг,Одежда,Товар,Товар,15.29,8462.67.100
Ремонт техники ПРО,"Ремонт техники, предоставляется компанией ПРО",час,ИТ услуги,Услуга,Услуга,62.01,
Графический дизайн Сервис,"Графический дизайн, предоставляется компанией Сервис",курс,Образование,Услуга,Услуга,74.10,
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",час,ИТ услуги,Услуга,Услуга,49.41,
Хлеб LG 5670,"Хлеб LG 5670, реальный товар",л,Продукты,Товар,Товар,10.51,8473.68.100
Сыр Bosch 1662,"Сыр Bosch 1662, реальный товар",шт,Продукты,Товар,Товар,14.12,8461.23.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",услуга,Логистика,Услуга,Услуга,96.04,
Молоко Nike 6380,"Молоко Nike 6380, реальный товар",кг,Продукты,Товар,Товар,14.12,8494.48.100
Сыр Nike 1902,"Сыр Nike 1902, реальный товар",м,Продукты,Товар,Товар,10.51,8438.37.100
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",месяц,Логистика,Услуга,Услуга,62.01,
Саморезы Adidas 2525,"Саморезы Adidas 2525, реальный товар",л,Материалы,Товар,Товар,15.29,8474.27.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",курс,ИТ услуги,Услуга,Услуга,85.41,
Холодильник Samsung 7636,"Холодильник Samsung 7636, реальный товар",л,Бытовая техника,Товар,Товар,26.30,8417.58.100
Джинсы Nike 7564,"Джинсы Nike 7564, реальный товар",л,Одежда,Товар,Товар,15.29,8492.62.100
Монитор Adidas 8999,"Монитор Adidas 8999, реальный товар",м,Электроника,Товар,Товар,10.51,8439.30.100
Цемент LG 1687,"Цемент LG 1687, реальный товар",кг,Материалы,Товар,Товар,26.30,8446.73.100
Ботинки LG 2034,"Ботинки LG 2034, реальный товар",шт,Обувь,Товар,Товар,10.51,8426.75.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",курс,ИТ услуги,Услуга,Услуга,96.04,
Ботинки Adidas 2752,"Ботинки Adidas 2752, реальный товар",л,Обувь,Товар,Товар,14.12,8457.89.100
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,49.41,
Разработка веб-сайта Сервис,"Разработка веб-сайта, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,74.10,
Хлеб LG 7363,"Хлеб LG 7363, реальный товар",м,Продукты,Товар,Товар,10.51,8425.44.100
Краска Danone 9470,"Краска Danone 9470, реальный товар",кг,Материалы,Товар,Товар,26.30,8495.78.100
Монитор Danone 2626,"Монитор Danone 2626, реальный товар",кг,Электроника,Товар,Товар,10.51,8421.89.100
Холодильник Danone 6384,"Холодильник Danone 6384, реальный товар",м,Бытовая техника,Товар,Товар,15.29,8471.51.100
Доставка товаров Сервис,"Доставка товаров, предоставляется компанией Сервис",месяц,Логистика,Услуга,Услуга,49.41,
Посудомоечная Samsung 2513,"Посудомоечная Samsung 2513, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8492.73.100
Джинсы Nike 8307,"Джинсы Nike 8307, реальный товар",кг,Одежда,Товар,Товар,10.51,8473.94.100
Планшет Samsung 6158,"Планшет Samsung 6158, реальный товар",кг,Электроника,Товар,Товар,27.51,8457.35.100
Смартфон Adidas 1868,"Смартфон Adidas 1868, реальный товар",шт,Электроника,Товар,Товар,14.12,8437.94.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,49.41,
Сыр Samsung 9557,"Сыр Samsung 9557, реальный товар",л,Продукты,Товар,Товар,26.30,8474.46.100
Монитор Adidas 8275,"Монитор Adidas 8275, реальный товар",л,Электроника,Товар,Товар,15.29,8421.56.100
Куртка Nike 5095,"Куртка Nike 5095, реальный товар",м,Одежда,Товар,Товар,14.12,8448.13.100
Смартфон Bosch 7337,"Смартфон Bosch 7337, реальный товар",шт,Электроника,Товар,Товар,15.29,8435.89.100
Кроссовки Samsung 4858,"Кроссовки Samsung 4858, реальный товар",шт,Обувь,Товар,Товар,10.51,8462.56.100
Разработка веб-сайта ПРО,"Разработка веб-сайта, предоставляется компанией ПРО",услуга,Логистика,Услуга,Услуга,85.41,
Планшет LG 7716,"Планшет LG 7716, реальный товар",шт,Электроника,Товар,Товар,27.51,8453.19.100
Посудомоечная LG 5510,"Посудомоечная LG 5510, реальный товар",кг,Бытовая техника,Товар,Товар,14.12,8467.65.100
Ноутбук Samsung 4386,"Ноутбук Samsung 4386, реальный товар",кг,Электроника,Товар,Товар,27.51,8443.39.100
Холодильник Samsung 2620,"Холодильник Samsung 2620, реальный товар",м,Бытовая техника,Товар,Товар,26.30,8425.37.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",час,Образование,Услуга,Услуга,62.01,
Сыр Samsung 4987,"Сыр Samsung 4987, реальный товар",л,Продукты,Товар,Товар,10.51,8430.17.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,85.41,
Планшет Danone 1739,"Планшет Danone 1739, реальный товар",л,Электроника,Товар,Товар,27.51,8447.54.100
Джинсы Adidas 8764,"Джинсы Adidas 8764, реальный товар",л,Одежда,Товар,Товар,27.51,8489.46.100
Тренировка в фитнесе ПРО,"Тренировка в фитнесе, предоставляется компанией ПРО",месяц,Образование,Услуга,Услуга,49.41,
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",курс,Красота,Услуга,Услуга,74.10,
Футболка Adidas 1092,"Футболка Adidas 1092, реальный товар",л,Одежда,Товар,Товар,14.12,8453.44.100
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",услуга,Образование,Услуга,Услуга,62.01,
Краска Samsung 1759,"Краска Samsung 1759, реальный товар",кг,Материалы,Товар,Товар,26.30,8428.98.100
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",услуга,Образование,Услуга,Услуга,49.41,
Косметический уход ПРО,"Косметический уход, предоставляется компанией ПРО",курс,Красота,Услуга,Услуга,49.41,
Футболка Samsung 8071,"Футболка Samsung 8071, реальный товар",кг,Одежда,Товар,Товар,15.29,8440.92.100
Кроссовки Nike 5304,"Кроссовки Nike 5304, реальный товар",шт,Обувь,Товар,Товар,27.51,8451.98.100
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",час,ИТ услуги,Услуга,Услуга,49.41,
Ботинки Bosch 2970,"Ботинки Bosch 2970, реальный товар",л,Обувь,Товар,Товар,15.29,8474.20.100
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",курс,Логистика,Услуга,Услуга,96.04,
Консультация адвоката Сервис,"Консультация адвоката, предоставляется компанией Сервис",услуга,Логистика,Услуга,Услуга,96.04,
Молоко Bosch 9565,"Молоко Bosch 9565, реальный товар",м,Продукты,Товар,Товар,27.51,8435.84.100
Холодильник LG 5724,"Холодильник LG 5724, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8447.58.100
Посудомоечная Samsung 3521,"Посудомоечная Samsung 3521, реальный товар",шт,Бытовая техника,Товар,Товар,14.12,8491.99.100
Сыр Danone 8782,"Сыр Danone 8782, реальный товар",кг,Продукты,Товар,Товар,15.29,8432.30.100
Косметический уход Сервис,"Косметический уход, предоставляется компанией Сервис",курс,Образование,Услуга,Услуга,49.41,
Разработка веб-сайта Центр,"Разработка веб-сайта, предоставляется компанией Центр",курс,ИТ услуги,Услуга,Услуга,74.10,
Куртка Adidas 4830,"Куртка Adidas 4830, реальный товар",кг,Одежда,Товар,Товар,10.51,8429.47.100
Ящик картонный размер 44,Ящик картонный упаковочный размер 44,шт,Тара производственная,Тара,Тара,16.23,
Окраска объект 40,Окраска стен и потолков объект 40,м²,Отделочные работы,Работа,Работа,43.34,
Косметический уход Сервис,"Косметический уход, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,49.41,
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",курс,Логистика,Услуга,Услуга,96.04,
Молоко Nike 9781,"Молоко Nike 9781, реальный товар",л,Продукты,Товар,Товар,26.30,8487.92.100
Разработка веб-сайта ПРО,"Разработка веб-сайта, предоставляется компанией ПРО",месяц,Логистика,Услуга,Услуга,85.41,
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,74.10,
Установка окна ПРО,"Установка окна, предоставляется компанией ПРО",курс,Красота,Услуга,Услуга,85.41,
Холодильник LG 2241,"Холодильник LG 2241, реальный товар",кг,Бытовая техника,Товар,Товар,27.51,8461.63.100
Стиральная машина LG 7271,"Стиральная машина LG 7271, реальный товар",шт,Бытовая техника,Товар,Товар,14.12,8460.78.100
Колбаса Samsung 4064,"Колбаса Samsung 4064, реальный товар",шт,Продукты,Товар,Товар,26.30,8459.60.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",час,ИТ услуги,Услуга,Услуга,74.10,
Тренировка в фитнесе Студия,"Тренировка в фитнесе, предоставляется компанией Студия",час,Логистика,Услуга,Услуга,49.41,
Тренировка в фитнесе Центр,"Тренировка в фитнесе, предоставляется компанией Центр",месяц,Образование,Услуга,Услуга,74.10,
Установка окна Центр,"Установка окна, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,62.01,
Тренировка в фитнесе ПРО,"Тренировка в фитнесе, предоставляется компанией ПРО",услуга,Образование,Услуга,Услуга,74.10,
Графический дизайн ПРО,"Графический дизайн, предоставляется компанией ПРО",час,Красота,Услуга,Услуга,49.41,
Краска Nike 2688,"Краска Nike 2688, реальный товар",л,Материалы,Товар,Товар,10.51,8489.66.100
Рубашка Bosch 1313,"Рубашка Bosch 1313, реальный товар",м,Одежда,Товар,Товар,10.51,8470.33.100
Краска Bosch 9482,"Краска Bosch 9482, реальный товар",м,Материалы,Товар,Товар,27.51,8498.57.100
Разработка веб-сайта ПРО,"Разработка веб-сайта, предоставляется компанией ПРО",час,Образование,Услуга,Услуга,85.41,
Тренировка в фитнесе Центр,"Тренировка в фитнесе, предоставляется компанией Центр",месяц,Образование,Услуга,Услуга,62.01,
Холодильник LG 8216,"Холодильник LG 8216, реальный товар",л,Бытовая техника,Товар,Товар,14.12,8482.80.100
Планшет Danone 9983,"Планшет Danone 9983, реальный товар",л,Электроника,Товар,Товар,14.12,8494.26.100
Краска Bosch 7699,"Краска Bosch 7699, реальный товар",шт,Материалы,Товар,Товар,15.29,8473.33.100
Посудомоечная Nike 6378,"Посудомоечная Nike 6378, реальный товар",л,Бытовая техника,Товар,Товар,27.51,8461.90.100
Кроссовки LG 8007,"Кроссовки LG 8007, реальный товар",л,Обувь,Товар,Товар,10.51,8485.47.100
Джинсы LG 1766,"Джинсы LG 1766, реальный товар",л,Одежда,Товар,Товар,15.29,8419.14.100
Рубашка Danone 6751,"Рубашка Danone 6751, реальный товар",л,Одежда,Товар,Товар,14.12,8447.91.100
Краска Nike 2267,"Краска Nike 2267, реальный товар",м,Материалы,Товар,Товар,15.29,8487.23.100
Смартфон Danone 1534,"Смартфон Danone 1534, реальный товар",л,Электроника,Товар,Товар,27.51,8467.92.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",час,Образование,Услуга,Услуга,49.41,
Стиральная машина Samsung 7690,"Стиральная машина Samsung 7690, реальный товар",шт,Бытовая техника,Товар,Товар,26.30,8450.39.100
Уборка помещения Центр,"Уборка помещения, предоставляется компанией Центр",услуга,Логистика,Услуга,Услуга,74.10,
Косметический уход ПРО,"Косметический уход, предоставляется компанией ПРО",час,Логистика,Услуга,Услуга,96.04,
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",курс,ИТ услуги,Услуга,Услуга,96.04,
Монитор Bosch 4769,"Монитор Bosch 4769, реальный товар",кг,Электроника,Товар,Товар,27.51,8421.36.100
Цемент Adidas 3639,"Цемент Adidas 3639, реальный товар",м,Материалы,Товар,Товар,14.12,8448.95.100
Разработка веб-сайта Центр,"Разработка веб-сайта, предоставляется компанией Центр",месяц,ИТ услуги,Услуга,Услуга,62.01,
Графический дизайн Центр,"Графический дизайн, предоставляется компанией Центр",курс,Образование,Услуга,Услуга,85.41,
Смартфон Nike 4302,"Смартфон Nike 4302, реальный товар",шт,Электроника,Товар,Товар,15.29,8479.13.100
Кроссовки LG 5377,"Кроссовки LG 5377, реальный товар",л,Обувь,Товар,Товар,14.12,8439.41.100
Краска LG 7938,"Краска LG 7938, реальный товар",л,Материалы,Товар,Товар,26.30,8436.16.100
Сыр Bosch 3348,"Сыр Bosch 3348, реальный товар",шт,Продукты,Товар,Товар,27.51,8445.30.100
Джинсы Bosch 7643,"Джинсы Bosch 7643, реальный товар",кг,Одежда,Товар,Товар,10.51,8491.27.100
Цемент Bosch 2970,"Цемент Bosch 2970, реальный товар",кг,Материалы,Товар,Товар,10.51,8418.40.100
Установка окна Центр,"Установка окна, предоставляется компанией Центр",курс,Образование,Услуга,Услуга,74.10,
Установка окна Студия,"Установка окна, предоставляется компанией Студия",час,Образование,Услуга,Услуга,74.10,
Куртка Bosch 8127,"Куртка Bosch 8127, реальный товар",шт,Одежда,Товар,Товар,15.29,8444.82.100
Посудомоечная Adidas 6688,"Посудомоечная Adidas 6688, реальный товар",л,Бытовая техника,Товар,Товар,27.51,8448.14.100
Куртка Bosch 8592,"Куртка Bosch 8592, реальный товар",шт,Одежда,Товар,Товар,26.30,8460.10.100
Колбаса Danone 5226,"Колбаса Danone 5226, реальный товар",кг,Продукты,Товар,Товар,27.51,8476.39.100
Колбаса Danone 4789,"Колбаса Danone 4789, реальный товар",л,Продукты,Товар,Товар,15.29,8467.29.100
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",услуга,Логистика,Услуга,Услуга,49.41,
Смартфон Bosch 3665,"Смартфон Bosch 3665, реальный товар",м,Электроника,Товар,Товар,27.51,8480.85.100
Ботинки Adidas 6128,"Ботинки Adidas 6128, реальный товар",шт,Обувь,Товар,Товар,14.12,8455.47.100
Установка окна ПРО,"Установка окна, предоставляется компанией ПРО",месяц,Логистика,Услуга,Услуга,85.41,
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",месяц,ИТ услуги,Услуга,Услуга,96.04,
Установка окна Студия,"Установка окна, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,49.41,
Рубашка Nike 4845,"Рубашка Nike 4845, реальный товар",л,Одежда,Товар,Товар,27.51,8497.11.100
Молоко Adidas 3114,"Молоко Adidas 3114, реальный товар",л,Продукты,Товар,Товар,26.30,8482.55.100
Колбаса LG 6515,"Колбаса LG 6515, реальный товар",кг,Продукты,Товар,Товар,15.29,8478.64.100
Ящик картонный размер 4,Ящик картонный упаковочный размер 4,шт,Тара производственная,Тара,Тара,16.23,
Графический дизайн Сервис,"Графический дизайн, предоставляется компанией Сервис",курс,Логистика,Услуга,Услуга,96.04,
Колбаса Adidas 9523,"Колбаса Adidas 9523, реальный товар",л,Продукты,Товар,Товар,15.29,8479.13.100
Графический дизайн Центр,"Графический дизайн, предоставляется компанией Центр",услуга,Образование,Услуга,Услуга,96.04,
Краска Nike 6585,"Краска Nike 6585, реальный товар",кг,Материалы,Товар,Товар,27.51,8471.85.100
Джинсы Adidas 8755,"Джинсы Adidas 8755, реальный товар",шт,Одежда,Товар,Товар,27.51,8461.62.100
Установка окна Студия,"Установка окна, предоставляется компанией Студия",курс,Образование,Услуга,Услуга,74.10,
Краска Samsung 5894,"Краска Samsung 5894, реальный товар",л,Материалы,Товар,Товар,26.30,8428.91.100
Доставка товаров Сервис,"Доставка товаров, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,49.41,
Консультация адвоката Сервис,"Консультация адвоката, предоставляется компанией Сервис",услуга,Образование,Услуга,Услуга,85.41,
Посудомоечная Danone 7917,"Посудомоечная Danone 7917, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8429.99.100
Хлеб LG 1411,"Хлеб LG 1411, реальный товар",м,Продукты,Товар,Товар,14.12,8422.72.100
Планшет Samsung 7834,"Планшет Samsung 7834, реальный товар",л,Электроника,Товар,Товар,14.12,8494.17.100
Консультация адвоката Студия,"Консультация адвоката, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,49.41,
Монитор LG 2035,"Монитор LG 2035, реальный товар",л,Электроника,Товар,Товар,14.12,8467.94.100
Установка окна ПРО,"Установка окна, предоставляется компанией ПРО",услуга,Красота,Услуга,Услуга,74.10,
Молоко LG 2765,"Молоко LG 2765, реальный товар",м,Продукты,Товар,Товар,14.12,8442.59.100
Монитор Adidas 8477,"Монитор Adidas 8477, реальный товар",л,Электроника,Товар,Товар,26.30,8468.18.100
Графический дизайн ПРО,"Графический дизайн, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,96.04,
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,49.41,
Стиральная машина Samsung 1943,"Стиральная машина Samsung 1943, реальный товар",кг,Бытовая техника,Товар,Товар,10.51,8444.13.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",курс,Логистика,Услуга,Услуга,49.41,
Разработка веб-сайта Сервис,"Разработка веб-сайта, предоставляется компанией Сервис",услуга,Образование,Услуга,Услуга,49.41,
Саморезы Adidas 2790,"Саморезы Adidas 2790, реальный товар",кг,Материалы,Товар,Товар,26.30,8433.92.100
Монитор Nike 2830,"Монитор Nike 2830, реальный товар",л,Электроника,Товар,Товар,14.12,8478.56.100
Посудомоечная LG 4567,"Посудомоечная LG 4567, реальный товар",м,Бытовая техника,Товар,Товар,26.30,8444.56.100
Консультация адвоката Сервис,"Консультация адвоката, предоставляется компанией Сервис",месяц,Красота,Услуга,Услуга,62.01,
Графический дизайн Центр,"Графический дизайн, предоставляется компанией Центр",месяц,Красота,Услуга,Услуга,96.04,
Планшет Adidas 6454,"Планшет Adidas 6454, реальный товар",л,Электроника,Товар,Товар,15.29,8475.81.100
Установка окна Студия,"Установка окна, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,85.41,
Футболка Danone 5163,"Футболка Danone 5163, реальный товар",л,Одежда,Товар,Товар,14.12,8421.28.100
Ноутбук Bosch 4898,"Ноутбук Bosch 4898, реальный товар",кг,Электроника,Товар,Товар,15.29,8477.78.100
